iter	Passed	Remaining
0	94	9345
1	176	8660
2	255	8270
3	335	8050
4	413	7860
5	503	7890
6	578	7688
7	654	7528
8	728	7362
9	802	7220
10	879	7112
11	955	7010
12	1038	6951
13	1115	6850
14	1198	6791
15	1282	6731
16	1368	6681
17	1464	6672
18	1557	6641
19	1635	6542
20	1717	6460
21	1803	6392
22	1900	6362
23	1979	6269
24	2065	6195
25	2147	6110
26	2226	6020
27	2306	5931
28	2389	5849
29	2471	5766
30	2560	5699
31	2645	5622
32	2733	5550
33	2820	5474
34	2902	5390
35	2983	5304
36	3062	5213
37	3147	5135
38	3223	5041
39	3310	4965
40	3391	4880
41	3467	4788
42	3557	4715
43	3639	4632
44	3719	4545
45	3806	4468
46	3892	4388
47	3997	4330
48	4084	4250
49	4167	4167
50	4254	4087
51	4331	3998
52	4406	3907
53	4492	3826
54	4577	3744
55	4659	3661
56	4747	3581
57	4819	3490
58	4895	3401
59	4975	3317
60	5058	3234
61	5138	3149
62	5219	3065
63	5305	2984
64	5383	2898
65	5466	2815
66	5549	2733
67	5631	2650
68	5715	2567
69	5803	2487
70	5889	2405
71	5961	2318
72	6057	2240
73	6143	2158
74	6227	2075
75	6316	1994
76	6404	1913
77	6485	1829
78	6608	1756
79	6709	1677
80	6801	1595
81	6883	1511
82	6965	1426
83	7042	1341
84	7159	1263
85	7245	1179
86	7322	1094
87	7403	1009
88	7479	924
89	7559	839
90	7632	754
91	7715	670
92	7792	586
93	7873	502
94	7956	418
95	8037	334
96	8139	251
97	8212	167
98	8295	83
99	8376	0
